publisher,author,primary_isbn10,primary_isbn13,date,contributor,title,weeks_on_list
Putnam,C J Box,None,9.78E+12,4/10/16,by C. J. Box,OFF THE GRID,3
Putnam,Clive Cussler and Justin Scott,698406427,9.78E+12,4/3/16,by Clive Cussler and Justin Scott,THE GANGSTER,3
Bantam,Dean Koontz,345545966,9.78E+12,1/10/16,by Dean Koontz,ASHLEY BELL,3
Atria,Jennifer Weiner,1451617836,9.78E+12,9/13/15,by Jennifer Weiner,WHO DO YOU LOVE,3
Putnam,Catherine Coulter,None,9.78E+12,8/9/15,by Catherine Coulter,NEMESIS,3
Roc,Jim Butcher,None,9.78E+12,6/29/14,by Jim Butcher,SKIN GAME,3
Bantam,Janet Evanovich and Lee Goldberg,NA,9.78E+12,3/30/14,by Janet Evanovich and Lee Goldberg,THE CHASE,3
Helen Cooper,J S Cooper and Helen Cooper,None,9.78E+12,3/9/14,by J. S. Cooper and Helen Cooper,THE EX GAMES,3
HarperCollins,Joyce Maynard,61957658,9.78E+12,2/23/14,by Joyce Maynard,LABOR DAY,3
Ecco/HarperCollins,Amy Tan,62107313,9.78E+12,12/8/13,by Amy Tan,THE VALLEY OF AMAZEMENT,3
Gail McHugh,Gail McHugh,None,A00B00DULA3B2,8/11/13,by Gail McHugh,PULSE,3
Putnam,Catherine Coulter,None,9.78E+12,8/11/13,by Catherine Coulter,BOMBSHELL,3
Hard Case Crime,Stephen King,1781162646,9.78E+12,7/7/13,by Stephen King,JOYLAND,3
Broad Reach Publishing,Hugh Howey,None,A00B0071XO8RA,6/9/13,by Hugh Howey,WOOL OMNIBUS EDITION,3
Tor/Tom Doherty Associates,Robert Jordan and Brandon Sanderson,1429997176,9.78E+12,4/28/13,by Robert Jordan and Brandon Sanderson,A MEMORY OF LIGHT,3
Simon & Schuster,Kyra Davis,1476711100,9.78E+12,4/21/13,by Kyra Davis,THE STRANGER,3
Harlequin,Susan Mallery,None,9.78E+12,4/14/13,by Susan Mallery,THREE SISTERS,3
Grand Central Publishing,Sandra Brown,1455546348,9.78E+12,3/31/13,by Sandra Brown,MIRROR IMAGE,3
Abbi Glines,Abbi Glines,None,A00B00AOTGI08,3/31/13,by Abbi Glines,FALLEN TOO FAR,3
Penguin Group,J D Robb,None,9.78E+12,3/31/13,by J. D. Robb,CALCULATED IN DEATH,3
Elisabeth Naughton,Elisabeth Naughton,985671955,9.78E+12,3/17/13,by Elisabeth Naughton,WAIT FOR ME,3
Grand Central Publishing,Brad Meltzer,None,9.78E+12,2/17/13,by Brad Meltzer,THE FIFTH ASSASSIN,3
Penguin Group,John Sandford,None,9.78E+12,11/4/12,by John Sandford,MAD RIVER,3
Penguin Group,Deborah Harkness,NA,9.78E+12,8/12/12,by Deborah Harkness,SHADOW OF NIGHT,3
Penguin Group,J D Robb,None,9.78E+12,3/25/12,by J. D. Robb,CELEBRITY IN DEATH,3
Penguin Group,Lisa Gardner,NA,9.78E+12,3/11/12,by Lisa Gardner,CATCH ME,3
"Little, Brown & Company",Michael Connelly,None,9.78E+12,10/30/11,by Michael Connelly,SUICIDE RUN,3
Penguin Group,Stuart Woods,None,9.78E+12,2/27/11,by Stuart Woods,STRATEGIC MOVES,3
Delacorte,Danielle Steel,1101884037,9.78E+12,6/9/18,by Danielle Steel,THE CAST,2
Morrow,Dorothea Benton Frank,62390821,9.78E+12,6/9/18,by Dorothea Benton Frank,BY INVITATION ONLY,2
Zebra,Lisa Jackson and Nancy Bush,1420136135,9.78E+12,5/20/18,by Lisa Jackson and Nancy Bush,ONE LAST BREATH,2
Putnam,Stuart Woods,073521722X,9.78E+12,5/6/18,by Stuart Woods,SHOOT FIRST,2
Putnam,CJ Box,399176624,9.78E+12,4/22/18,by C.J. Box,THE DISAPPEARED,2
Delacorte,Danielle Steel,1101884096,9.78E+12,4/15/18,by Danielle Steel,ACCIDENTAL HEROES,2
Putnam,Clive Cussler and Graham Brown,735215537,9.78E+12,4/8/18,by Clive Cussler and Graham Brown,THE RISING SEA,2
Ballantine,Jonathan Kellerman,345541472,9.78E+12,3/11/18,by Jonathan Kellerman,NIGHT MOVES,2
Delacorte,Danielle Steel,1101884002,9.78E+12,2/18/18,by Danielle Steel,FALL FROM GRACE,2
Berkley,Christine Feehan,451488512,9.78E+12,2/18/18,by Christine Feehan,JUDGMENT ROAD,2
Grand Central,Douglas Preston and Lincoln Child,145553692X,9.78E+12,2/11/18,by Douglas Preston and Lincoln Child,CITY OF ENDLESS NIGHT,2
Morrow,Karin Slaughter,62430262,9.78E+12,1/14/18,by Karin Slaughter,THE GOOD DAUGHTER,2
Bantam,Dean Koontz,345546784,9.78E+12,12/3/17,by Dean Koontz,THE SILENT CORNER,2
Putnam,Clive Cussler and Boyd Morrison,039957557X,9.78E+12,12/3/17,by Clive Cussler and Boyd Morrison,TYPHOON FURY,2
Simon & Schuster,Mary Higgins Clark and Alafair Burke,150117164X,9.78E+12,12/3/17,by Mary Higgins Clark and Alafair Burke,EVERY BREATH YOU TAKE,2
Berkley,Christine Feehan,399583971,9.78E+12,11/19/17,by Christine Feehan,LEOPARD'S BLOOD,2
Knopf,Tom Hanks,1101946156,9.78E+12,11/19/17,by Tom Hanks,UNCOMMON TYPE,2
Delacorte,Danielle Steel,1101884061,9.78E+12,11/5/17,by Danielle Steel,FAIRYTALE,2
Minotaur,Louise Penny,1250066190,9.78E+12,9/24/17,by Louise Penny,GLASS HOUSES,2
Delacorte,Danielle Steel,345531086,9.78E+12,7/23/17,by Danielle Steel,THE DUCHESS,2
Putnam,Mike Maden,735215863,9.78E+12,7/9/17,by Mike Maden,TOM CLANCY: POINT OF CONTACT,2
Morrow,Dorothea Benton Frank,62390783,9.78E+12,6/11/17,by Dorothea Benton Frank,"SAME BEACH, NEXT YEAR",2
Delacorte,Danielle Steel,110188391X,9.78E+12,5/28/17,by Danielle Steel,AGAINST ALL ODDS,2
St. Martin's,Lisa Scottoline,1250099587,9.78E+12,5/7/17,by Lisa Scottoline,ONE PERFECT LIE,2
HQN,Linda Lael Miller,037378970X,9.78E+12,4/16/17,by Linda Lael Miller,FOREVER A HERO,2
Putnam,C J Box,399176616,9.78E+12,4/16/17,by C. J. Box,VICIOUS CIRCLE,2
Delacorte,Danielle Steel,110188388X,9.78E+12,4/2/17,by Danielle Steel,DANGEROUS GAMES,2
Ballantine,Jonathan Kellerman,345541448,9.78E+12,3/12/17,by Jonathan Kellerman,HEARTBREAK HOTEL,2
Random House,George Saunders,812995341,9.78E+12,3/12/17,by George Saunders,LINCOLN IN THE BARDO,2
Putnam,Stuart Woods,None,9.78E+12,1/29/17,by Stuart Woods,BELOW THE BELT,2
St. Martin’s,B A Paris,1250121019,9.78E+12,12/18/16,by B. A. Paris,BEHIND CLOSED DOORS,2
Tijan,Tijan,None,A00B01KSW4QJA,9/18/16,by Tijan,ANTI-STEPBROTHER,2
Ballantine,Tess Gerritsen,345543866,9.78E+12,8/7/16,by Tess Gerritsen,DIE AGAIN,2
Putnam,Grant Blackwood,399176802,9.78E+12,7/10/16,by Grant Blackwood,TOM CLANCY: DUTY AND HONOR,2
"Little, Brown",James Patterson with Max DiLallo,316317128,9.78E+12,7/3/16,by James Patterson with Max DiLallo,ZOO 2,2
Ballantine,Justin Cronin,804177643,9.78E+12,6/19/16,by Justin Cronin,THE CITY OF MIRRORS,2
Lauren Blakely,Lauren Blakely,None,A00B01F1476OC,5/29/16,by Lauren Blakely,MISTER O,2
Knopf,Richard Russo,307270645,9.78E+12,5/29/16,by Richard Russo,EVERYBODY'S FOOL,2
Minotaur,Steve Berry,1466862610,9.78E+12,5/1/16,by Steve Berry,THE 14TH COLONY,2
Anchor,Lincoln Child,385531397,9.78E+12,4/10/16,by Lincoln Child,THE THIRD GATE,2
Grand Central,Jeffery Deaver,1455536369,9.78E+12,4/3/16,by Jeffery Deaver,THE STEEL KISS,2
St. Martin's,Lisa Scottoline,1466842040,9.78E+12,3/20/16,by Lisa Scottoline,KEEP QUIET,2
Penelope Ward,Penelope Ward,1942215363,9.78E+12,3/13/16,by Penelope Ward,ROOMHATE,2
Touchstone,J A Jance,None,9.78E+12,2/7/16,by J. A. Jance,COLD BETRAYAL,2
Lucasbooks,Alan Dean Foster,1101965495,9.78E+12,1/31/16,by Alan Dean Foster,THE FORCE AWAKENS,2
Mira,Mary Kubica,1460330196,9.78E+12,12/20/15,by Mary Kubica,THE GOOD GIRL,2
Simon & Schuster,Mary Higgins Clark and Alafair Burke,1501108557,9.78E+12,12/13/15,by Mary Higgins Clark and Alafair Burke,ALL DRESSED IN WHITE,2
Grand Central,Douglas Preston and Lincoln Child,1455525936,9.78E+12,12/6/15,by Douglas Preston and Lincoln Child,CRIMSON SHORE,2
Putnam,J D Robb,None,9.78E+12,10/11/15,by J. D. Robb,DEVOTED IN DEATH,2
EverAfter Romance,Alessandra Torre,None,9.78E+12,10/4/15,by Alessandra Torre,HOLLYWOOD DIRT,2
Del Rey,Chuck Wendig,034551162X,9.78E+12,9/27/15,by Chuck Wendig,STAR WARS: AFTERMATH,2
"Farrar, Straus & Giroux",Jonathan Franzen,374239215,9.78E+12,9/27/15,by Jonathan Franzen,PURITY,2
Mira,Ron Carr,1460382072,9.78E+12,7/26/15,by Robyn Carr,A NEW HOPE,2
Putnam,Grant Blackwood,None,9.78E+12,7/12/15,by Grant Blackwood,TOM CLANCY UNDER FIRE,2
CreateSpace,Jamie McGuire,None,A00B00WFGUQ4W,6/21/15,by Jamie McGuire,BEAUTIFUL SACRIFICE,2
Putnam,Stuart Woods,NA,9.78E+12,5/3/15,by Stuart Woods,HOT PURSUIT,2
Putnam,J D Robb,698161440,9.78E+12,3/8/15,by J. D. Robb,OBSESSION IN DEATH,2
Metal Blonde,Karina Halle,None,9.78E+12,1/25/15,by Karina Halle,THE PACT,2
Melanie Marchande,Melanie Marchande,None,A00B00OQABJBO,12/7/14,by Melanie Marchande,HIS SECRETARY,2
Knopf,Anne Rice,307962520,9.78E+12,11/23/14,by Anne Rice,PRINCE LESTAT,2
Putnam,Clive Cussler,NA,9.78E+12,11/23/14,by Clive Cussler,HAVANA STORM,2
Knopf,Haruki Murakami,385352107,9.78E+12,9/7/14,by Haruki Murakami,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE,2
Morrow/HarperCollins,Hazel Gaynor,62316877,9.78E+12,6/15/14,by Hazel Gaynor,THE GIRL WHO CAME HOME,2
St. Martin's,Jeffrey Archer,NA,9.78E+12,4/6/14,by Jeffrey Archer,BE CAREFUL WHAT YOU WISH FOR,2
Tor/Tom Doherty,Brandon Sanderson,NA,9.78E+12,3/30/14,by Brandon Sanderson,WORDS OF RADIANCE,2
Morrow/HarperCollins,Diane Mott Davidson,NA,9.78E+12,3/23/14,by Diane Mott Davidson,THE WHOLE ENCHILADA,2
St. Martin's,Jeffrey Archer,NA,9.78E+12,2/16/14,by Jeffrey Archer,BEST KEPT SECRET,2
Grand Central,Douglas Preston and Lincoln Child,1455525855,9.78E+12,12/8/13,by Douglas Preston and Lincoln Child,WHITE FIRE,2
J.C. Reed,JC Reed,None,A00B00FVAKOY6,11/10/13,by J.C. Reed,TREASURE YOUR LOVE,2
Harlequin Mira,Ron Carr,1460317971,9.78E+12,9/22/13,by Robyn Carr,THE HERO,2
Berkley,Maya Banks,None,9.78E+12,9/1/13,by Maya Banks,BURN,2
Birch Paper Press,Ryan Winfield,None,A00B00DFNF98W,8/25/13,by Ryan Winfield,JANE'S MELODY,2
Delacorte,Danielle Steel,None,9.78E+12,8/11/13,by Danielle Steel,FIRST SIGHT,2
Harlequin Mira,Ron Carr,1460315065,9.78E+12,7/21/13,by Robyn Carr,THE NEWCOMER,2
Abbi Glines,Abbi Glines,988301334,9.78E+12,7/7/13,by Abbi Glines,FOREVER TOO FAR,2
Georgia Cates,Georgia Cates,1628470356,9.78E+12,6/23/13,by Georgia Cates,BEAUTY FROM SURRENDER,2
Abbi Glines,Abbi Glines,988301326,9.78E+12,5/19/13,by Abbi Glines,TWISTED PERFECTION,2
Scribner,Kathy Reichs,1439112827,9.78E+12,5/12/13,by Kathy Reichs,BONES ARE FOREVER,2
Putnam,Stuart Woods,NA,9.78E+12,5/5/13,by Stuart Woods,UNINTENDED CONSEQUENCES,2
Penguin Group,Maya Banks,None,9.78E+12,4/28/13,by Maya Banks,FEVER,2
Simon & Schuster,Jamie McGuire,1476712999,9.78E+12,4/28/13,by Jamie McGuire,WALKING DISASTER,2
Penguin Group,J R Ward,None,9.78E+12,4/21/13,by J. R. Ward,LOVER AT LAST,2
Courtney Cole,Courtney Cole,None,A00B00BD9HOY2,3/10/13,by Courtney Cole,IF YOU STAY,2
Random House Publishing,Jonathan Kellerman,345538811,9.78E+12,3/10/13,by Jonathan Kellerman,GUILT,2
Random House Publishing,Danielle Steel,034553865X,9.78E+12,2/24/13,by Danielle Steel,UNTIL THE END OF TIME,2
HarperCollins,James Rollins,None,9.78E+12,2/3/13,by James Rollins,THE DEVIL COLONY,2
Raine Miller,Raine Miller,None,9.78E+12,12/9/12,by Raine Miller,ALL IN,2
Berkley Books,Christine Feehan,None,9.78E+12,10/28/12,by Christine Feehan,DARK STORM,2
Grand Central Publishing,Jill Shalvis,446576468,9.78E+12,10/7/12,by Jill Shalvis,SIMPLY IRRESISTIBLE,2
Entangled Publishing,Gina L Maxwell,None,A00B008NGFLPC,9/9/12,by Gina L. Maxwell,SEDUCING CINDERELLA,2
Scribner,Stephen King,1451658907,9.78E+12,5/20/12,by Stephen King,THE WIND THROUGH THE KEYHOLE,2
Random House Publishing,Sophie Kinsella,679644687,9.78E+12,3/11/12,by Sophie Kinsella,I'VE GOT YOUR NUMBER,2
St. Martin’s Press,Kristin Hannah,312364431,9.78E+12,2/19/12,by Kristin Hannah,NIGHT ROAD,2
Simon & Schuster,Janet Evanovich,684867311,9.78E+12,2/19/12,by Janet Evanovich,ONE FOR THE MONEY,2
P. J. Alderman,P J Alderman,NA,A00B0040JI3M4,10/30/11,by P. J. Alderman,A KILLING TIDE,2
Grand Central,Douglas Preston and Lincoln Child,446554987,9.78E+12,8/28/11,by Douglas Preston and Lincoln Child,COLD VENGEANCE,2
Penguin Group,Jim Butcher,045146379X,9.78E+12,8/21/11,by Jim Butcher,GHOST STORY,2
Penguin Group,Catherine Coulter,None,9.78E+12,8/14/11,by Catherine Coulter,SPLIT SECOND,2
HarperCollins,S J Watson,None,9.78E+12,7/31/11,by S. J. Watson,BEFORE I GO TO SLEEP,2
Random House,Tess Gerritsen,345526600,9.78E+12,7/31/11,by Tess Gerritsen,THE SILENT GIRL,2
"Little, Brown",Elin Hilderbrand,316175579,9.78E+12,7/17/11,by Elin Hilderbrand,SILVER GIRL,2
Random House,Danielle Steel,385343140,9.78E+12,5/1/11,by Danielle Steel,44 CHARLES STREET,2
Harlequin,Linda Lael Miller,373775555,9.78E+12,3/20/11,by Linda Lael Miller,A CREED IN STONE CREEK,2
Harlequin,Ron Carr,778329313,9.78E+12,2/20/11,by Robyn Carr,WILD MAN CREEK,2
Scribner,Stephen King,1501180983,9.78E+12,6/9/18,by Stephen King,THE OUTSIDER,1
Gallery,Mary Alice Monroe,1501193317,9.78E+12,6/9/18,by Mary Alice Monroe,BEACH HOUSE REUNION,1
C. Scott Publishing,Penelope Ward and Vi Keeland,1942215800,9.78E+12,6/9/18,by Penelope Ward and Vi Keeland,REBEL HEART,1
Red Dress Press,Meghan March,1943796106,9.78E+12,6/9/18,by Meghan March,ROGUE ROYALTY,1
Grand Central,James Patterson and Rees Jones,1538714450,9.78E+12,6/3/18,by James Patterson and Rees Jones,PRINCESS,1
Bantam,Dean Koontz,525483446,9.78E+12,5/27/18,by Dean Koontz,THE CROOKED STAIRCASE,1
Berkley,Amanda Quick,399585338,9.78E+12,5/27/18,by Amanda Quick,THE OTHER LADY VANISHES,1
Knopf,Michael Ondaatje,525521194,9.78E+12,5/27/18,by Michael Ondaatje,WARLIGHT,1
Susan Stoker,Susan Stoker,None,A00B076PHNYRQ,5/27/18,by Susan Stoker,RESCUING WENDY,1
Berkley,Mary Balogh,399586091,9.78E+12,5/20/18,by Mary Balogh,SOMEONE TO CARE,1
Ace,Faith Hunter,1101991437,9.78E+12,5/20/18,by Faith Hunter,DARK QUEEN,1
Harper,Aimee Molloy,62696815,9.78E+12,5/20/18,by Aimee Molloy,THE PERFECT MOTHER,1
Putnam,Ace Atkins,698413075,9.78E+12,5/20/18,by Ace Atkins,ROBERT B. PARKER'S OLD BLACK MAGIC,1
Delacorte,Lee Child,440339340,9.78E+12,5/20/18,by Lee Child,WORTH DYING FOR,1
St. Martin's,Iris Johansen,1466887249,9.78E+12,5/13/18,by Iris Johansen,SHATTERED MIRROR,1
Red Dress Press,Meghan March,1943796084,9.78E+12,5/13/18,by Meghan March,IRON PRINCESS,1
Oak Press,Bella Andre and Jennifer Skully,1945253436,9.78E+12,5/13/18,by Bella Andre and Jennifer Skully,WILD IN LOVE,1
Anchor,Kevin Kwan,345803787,9.78E+12,5/13/18,by Kevin Kwan,CRAZY RICH ASIANS,1
MIRA,Ron Carr,1488023557,9.78E+12,5/6/18,by Robyn Carr,THE FAMILY GATHERING,1
Morrow,Christopher Moore,62433970,9.78E+12,5/6/18,by Christopher Moore,NOIR,1
Atria,Lisa Jewell,1501154664,9.78E+12,5/6/18,by Lisa Jewell,THEN SHE WAS GONE,1
Ballantine,JR Ward,None,9.78E+12,4/29/18,by J.R. Ward,THE THIEF,1
Gallery,Catherine Coulter and JT Ellison,1501138219,9.78E+12,4/29/18,by Catherine Coulter and J.T. Ellison,THE SIXTH DAY,1
Grand Central,Jeffery Deaver,1455536415,9.78E+12,4/29/18,by Jeffery Deaver,THE CUTTING EDGE,1
"Little, Brown",Madeline Miller,316556343,9.78E+12,4/29/18,by Madeline Miller,CIRCE,1
C. Scott,Vi Keeland and Penelope Ward,1942215835,9.78E+12,4/29/18,by Vi Keeland and Penelope Ward,REBEL HEIR,1
Harper,Anne Hillerman,62391941,9.78E+12,4/22/18,by Anne Hillerman,CAVE OF BONES,1
Riverhead,Meg Wolitzer,525533222,9.78E+12,4/22/18,by Meg Wolitzer,THE FEMALE PERSUASION,1
Del Rey,Kevin Hearne,345548558,9.78E+12,4/22/18,by Kevin Hearne,SCOURGED,1
Harper,Jacqueline Winspear,62436651,9.78E+12,4/15/18,by Jacqueline Winspear,TO DIE BUT ONCE,1
Avon,Lynsay Sands,62468871,9.78E+12,4/15/18,by Lynsay Sands,TWICE BITTEN,1
Red Dress,Meghan March,1943796068,9.78E+12,4/15/18,by Meghan March,SAVAGE PRINCE,1
Viking,Elizabeth George,069841165X,9.78E+12,4/8/18,by Elizabeth George,THE PUNISHMENT SHE DESERVES,1
Minotaur,Steve Berry,1250140234,9.78E+12,4/8/18,by Steve Berry,THE BISHOP'S PAWN,1
Berkley,Christine Feehan,451489888,9.78E+12,4/8/18,by Christine Feehan,COVERT GAME,1
Atlantic Monthly,Donna Leon,802165613,9.78E+12,4/8/18,by Donna Leon,THE TEMPTATION OF FORGIVENESS,1
Ballantine,JR Ward,525620923,9.78E+12,4/1/18,by J.R. Ward,DEAREST IVIE,1
Doubleday,Chris Bohjalian,385542429,9.78E+12,4/1/18,by Chris Bohjalian,THE FLIGHT ATTENDANT,1
Putnam,Randy Wayne White,735212783,9.78E+12,4/1/18,by Randy Wayne White,CARIBBEAN RIM,1
Ace,Patricia Briggs,698195833,9.78E+12,3/25/18,by Patricia Briggs,BURN BRIGHT,1
Del Rey,Jason Fry,1524797111,9.78E+12,3/25/18,by Jason Fry,STAR WARS: THE LAST JEDI,1
Morrow,Linda Howard,006241903X,9.78E+12,3/25/18,by Linda Howard,THE WOMAN LEFT BEHIND,1
Delacorte,Karen Marie Moning,399593675,9.78E+12,3/25/18,by Karen Marie Moning,HIGH VOLTAGE,1
Avon,Lisa Kleypas,62371894,9.78E+12,3/18/18,by Lisa Kleypas,HELLO STRANGER,1
HQN,Marie Force,1488079021,9.78E+12,3/18/18,by Marie Force,FATAL CHAOS,1
Kensington,Joanne Fluke,1617732257,9.78E+12,3/18/18,by Joanne Fluke,RASPBERRY DANISH MURDER,1
BAAE,Corinne Michaels,1942834225,9.78E+12,3/18/18,by Corinne Michaels,ONE LAST TIME,1
Zebra,Lisa Jackson,1420146408,9.78E+12,3/18/18,by Lisa Jackson,RUTHLESS,1
Berkley,Mark Greaney,045148892X,9.78E+12,3/11/18,by Mark Greaney,AGENT IN PLACE,1
Penelope Ward,Penelope Ward,1942215738,9.78E+12,3/11/18,by Penelope Ward,GENTLEMAN NINE,1
Waterhouse,Helen Hardt,None,9.78E+12,3/4/18,by Helen Hardt,UNRAVELED,1
Scribner,Jason Matthews,1501140108,9.78E+12,3/4/18,by Jason Matthews,THE KREMLIN'S CANDIDATE,1
Dial,Sophie Kinsella,039959289X,9.78E+12,3/4/18,by Sophie Kinsella,SURPRISE ME,1
Putnam,Alex Berenson,698407539,9.78E+12,2/25/18,by Alex Berenson,THE DECEIVERS,1
Tyndale House,Francine Rivers,149640792X,9.78E+12,2/25/18,by Francine Rivers,THE MASTERPIECE,1
Zebra,Kat Martin,1420143174,9.78E+12,2/18/18,by Kat Martin,BEYOND DANGER,1
Delacorte,Alan Bradley,345540018,9.78E+12,2/18/18,by Alan Bradley,THE GRAVE'S A FINE AND PRIVATE PLACE,1
Avon,Jill Shalvis,62741810,9.78E+12,2/11/18,by Jill Shalvis,ABOUT THAT KISS,1
MIRA,Susan Mallery,1488023689,9.78E+12,2/11/18,by Susan Mallery,SISTERS LIKE US,1
Ballantine,Karen Cleveland,1524797030,9.78E+12,2/11/18,by Karen Cleveland,NEED TO KNOW,1
Del Rey,Pierce Brown,425285928,9.78E+12,2/4/18,by Pierce Brown,IRON GOLD,1
Vi Keeland,Vi Keeland,1942215711,9.78E+12,2/4/18,by Vi Keeland,"SEX, NOT LOVE",1
Heidi McLaughlin,Heidi McLaughlin,None,A00B00ATNJW3Y,2/4/18,by Heidi McLaughlin,FOREVER MY GIRL,1
Ballantine,JR Ward,698193326,9.78E+12,1/28/18,by J.R. Ward,BLOOD FURY,1
Putnam,Chloe Benjamin,735213186,9.78E+12,1/28/18,by Chloe Benjamin,THE IMMORTALISTS,1
Dutton,Brad Taylor,1101984821,9.78E+12,1/28/18,by Brad Taylor,OPERATOR DOWN,1
Putnam,Stuart Woods,073521719X,9.78E+12,1/21/18,by Stuart Woods,UNBOUND,1
Simon & Schuster,James Lee Burke,1501176854,9.78E+12,1/21/18,by James Lee Burke,ROBICHEAUX,1
Berkley,Jayne Ann Krentz,399585265,9.78E+12,1/21/18,by Jayne Ann Krentz,PROMISE NOT TO TELL,1
Scribner,Jesmyn Ward,1501126067,9.78E+12,1/21/18,by Jesmyn Ward,"SING, UNBURIED, SING",1
Putnam,Robert Crais,399573909,9.78E+12,1/14/18,by Robert Crais,THE WANTED,1
Waterhouse,Helen Hardt,None,9.78E+12,1/14/18,by Helen Hardt,TWISTED,1
Morrow,Kate Quinn,62654209,9.78E+12,1/14/18,by Kate Quinn,THE ALICE NETWORK,1
Morrow,James Rollins,006238175X,9.78E+12,12/24/17,by James Rollins,THE DEMON CROWN,1
Orbit,James S A Corey,316332828,9.78E+12,12/24/17,by James S. A. Corey,PERSEPOLIS RISING,1
Delacorte,Danielle Steel,1101883979,9.78E+12,12/17/17,by Danielle Steel,PAST PERFECT,1
Bantam,Dean Koontz,345546814,9.78E+12,12/10/17,by Dean Koontz,THE WHISPERING ROOM,1
Grand Central,James Patterson and Ashwin Sanghi,1538759659,9.78E+12,12/3/17,by James Patterson and Ashwin Sanghi,COUNT TO TEN,1
Red Dress,Meghan March,1943796033,9.78E+12,12/3/17,by Meghan March,DEFIANT QUEEN,1
Berkley,Mary Balogh,399586075,9.78E+12,11/26/17,by Mary Balogh,SOMEONE TO WED,1
Pantheon,Alexander McCall Smith,1101871385,9.78E+12,11/26/17,by Alexander McCall Smith,THE HOUSE OF UNEXPECTED SISTERS,1
Simon & Schuster,Richard Paul Evans,1501172034,9.78E+12,11/26/17,by Richard Paul Evans,THE NOEL DIARY,1
Kristen Ashley,Kristen Ashley,None,A00B075H2S93B,11/26/17,by Kristen Ashley,COMPLICATED,1
Howard Books,Karen Kingsbury,1451687621,9.78E+12,11/26/17,by Karen Kingsbury,IN THIS MOMENT,1
Avon,Eloisa James,62389483,9.78E+12,11/19/17,by Eloisa James,WILDE IN LOVE,1
Flatiron Books,Mark Frost,1250163307,9.78E+12,11/19/17,by Mark Frost,TWIN PEAKS: THE FINAL DOSSIER,1
HQN,Diana Palmer,373803729,9.78E+12,11/19/17,by Diana Palmer,WYOMING WINTER,1
Putnam,Stuart Woods,735217165,9.78E+12,11/12/17,by Stuart Woods,QUICK & DIRTY,1
St. Martin's,Iris Johansen,1466887230,9.78E+12,11/12/17,by Iris Johansen,MIND GAME,1
Simon & Schuster,Alice Hoffman,1501137492,9.78E+12,10/29/17,by Alice Hoffman,THE RULES OF MAGIC,1
Oak Press,Bella Andre,1945253460,9.78E+12,10/29/17,by Bella Andre,YOU DO SOMETHING TO ME,1
Ballantine,Debbie Macomber,399181237,9.78E+12,10/22/17,by Debbie Macomber,MERRY AND BRIGHT,1
Atria,Colleen Hoover,1501170635,9.78E+12,10/22/17,by Colleen Hoover,WITHOUT MERIT,1
"Little, Brown",Elin Hilderbrand,316435481,9.78E+12,10/22/17,by Elin Hilderbrand,WINTER SOLSTICE,1
HQN,Susan Mallery,None,9.78E+12,10/15/17,by  Susan Mallery,SECOND CHANCE GIRL,1
HQN,RaeAnne Thayne,373803680,9.78E+12,10/15/17,by RaeAnne Thayne,SUGAR PINE TRAIL,1
Berkley,Nalini Singh,451488253,9.78E+12,10/15/17,by Nalini Singh,ARCHANGEL'S VIPER,1
Avon,Lynsay Sands,62468863,9.78E+12,10/15/17,by Lynsay Sands,IMMORTALLY YOURS,1
Putnam,Jan Karon,399183736,9.78E+12,10/8/17,by Jan Karon,TO BE WHERE YOU ARE,1
Mira,Heather Graham,1460398858,9.78E+12,10/8/17,by Heather Graham,WICKED DEEDS,1
Atria/Keywords,Gabbie Hanna,1501178326,9.78E+12,10/8/17,by Gabbie Hanna,ADULTOLESCENCE,1
Gallery Books,Catherine Coulter,1501138111,9.78E+12,10/1/17,by Catherine Coulter,ENIGMA,1
Putnam,Clive Cussler and Robin Burcell,399575553,9.78E+12,10/1/17,by Clive Cussler and Robin Burcell,THE ROMANOV RANSOM,1
Putnam,Reed Farrel Coleman,698166612,9.78E+12,10/1/17,by Reed Farrel Coleman,THE HANGMAN'S SONNET,1
Atria/Emily Bestler,Vince Flynn,1501180800,9.78E+12,10/1/17,by Vince Flynn,AMERICAN ASSASSIN,1
Berkley,Christine Feehan,None,9.78E+12,9/24/17,by Christine Feehan,DARK LEGACY,1
Viking,Craig Johnson,698157540,9.78E+12,9/24/17,by Craig Johnson,THE WESTERN STAR,1
