publisher,author,primary_isbn10,primary_isbn13,date,contributor,title,weeks_on_list
Penguin Group,Tami Hoag,NA,9.78E+12,1/15/12,by Tami Hoag,DOWN THE DARKEST ROAD,0
Penguin Group,Stuart Woods,None,9.78E+12,1/8/12,by Stuart Woods,D.C. DEAD,0
Penguin Group,WEB Griffin and William E Butterworth IV,NA,9.78E+12,1/8/12,by W.E.B. Griffin and William E. Butterworth IV,COVERT WARRIORS,0
"Little, Brown & Company",Chad Harbach,316126691,9.78E+12,1/1/12,by Chad Harbach,THE ART OF FIELDING,0
HarperCollins Publishers,Michael Crichton and Richard Preston,60873027,9.78E+12,1/1/12,by Michael Crichton and Richard Preston,MICRO,0
Penguin Group,Barbara Freethy,None,A00B004MYFSD4,12/25/11,by Barbara Freethy,ALL SHE EVER WANTED,0
"Little, Brown & Company",James Patterson and Richard DiLallo,None,9.78E+12,12/25/11,by James Patterson and Richard DiLallo,THE CHRISTMAS WEDDING,0
Random House Publishing,Diana Gabaldon,385337515,9.78E+12,12/25/11,by Diana Gabaldon,THE SCOTTISH PRISONER,0
Simon & Schuster,Stephen Hunter,1439149941,9.78E+12,12/25/11,by Stephen Hunter,SOFT TARGET,0
Harlequin,Diana Palmer,1459281969,9.78E+12,12/18/11,by Diana Palmer,TRUE BLUE AND CARRERA’S BRIDE,0
Putnam,Clive Cussler and Graham Brown,399157824,9.78E+12,12/11/11,by Clive Cussler and Graham Brown,DEVIL’S GATE,0
Pocket Books,Sabrina Jeffries,None,9.78E+12,12/11/11,by Sabrina Jeffries,TO WED A WILD LORD,0
"Farrar, Straus & Giroux",Jeffrey Eugenides,1429969180,9.78E+12,12/11/11,by Jeffrey Eugenides,THE MARRIAGE PLOT,0
Harlequin,Debbie Macomber,None,9.78E+12,12/4/11,by Debbie Macomber,1225 CHRISTMAS TREE LANE,0
Random House Publishing,Danielle Steel,345529200,9.78E+12,12/4/11,by Danielle Steel,HOTEL VENDOME,0
Knopf Doubleday Publishing,Haruki Murakami,307593312,9.78E+12,12/4/11,by Haruki Murakami,1Q84,0
"Little, Brown & Company",Michael Connelly,None,9.78E+12,11/27/11,by Michael Connelly,ANGLE OF INVESTIGATION,0
Penguin Group,John Sandford,None,9.78E+12,11/27/11,by John Sandford,SHOCK WAVE,0
Houghton Mifflin Harcourt,Umberto Eco,547577532,9.78E+12,11/27/11,by Umberto Eco,THE PRAGUE CEMETERY,0
HarperCollins Publishers,Gregory Maguire,60548940,9.78E+12,11/20/11,by Gregory Maguire,OUT OF OZ,0
Chris Culver,Chris Culver,None,A00B004M18ZRS,11/20/11,by Chris Culver,THE ABBEY,0
Mira,Ron Carr,778312712,9.78E+12,11/20/11,by Robyn Carr,BRING ME HOME FOR CHRISTMAS,0
Harlequin,Diana Palmer,1459215230,9.78E+12,11/13/11,by Diana Palmer,WYOMING TOUGH,0
Random House Publishing,Maya Banks,345519523,9.78E+12,11/13/11,by Maya Banks,NEVER LOVE A HIGHLANDER,0
Grand Central Publishing,Sandra Brown,None,9.78E+12,11/13/11,by Sandra Brown,LETHAL,0
Knopf Doubleday,Erin Morgenstern,385534647,9.78E+12,11/6/11,by Erin Morgenstern,THE NIGHT CIRCUS,0
Simon & Schuster,Alice Hoffman,1451617496,9.78E+12,11/6/11,by Alice Hoffman,THE DOVEKEEPERS,0
Grand Central Publishing,James Patterson,446574716,9.78E+12,11/6/11,by James Patterson,CROSS FIRE,0
Signet,Harlan Coben,045123491X,9.78E+12,10/30/11,by Harlan Coben,MIRACLE CURE,0
St. Martin’s,Tatiana de Rosnay,1429985216,9.78E+12,10/30/11,by Tatiana de Rosnay,SARAH’S KEY,0
Berkley,J D Robb,None,9.78E+12,10/23/11,by J. D. Robb,NEW YORK TO DALLAS,0
